timestamp,open,high,low,close,volume
2019-01-01 17:06:00,1.561780,1.561780,1.561400,1.561460,0
2019-01-01 17:07:00,1.561450,1.561720,1.561440,1.561690,0
2019-01-01 17:08:00,1.561720,1.561730,1.561680,1.561730,0
2019-01-01 17:09:00,1.561710,1.561730,1.561660,1.561700,0
2019-01-01 17:10:00,1.561450,1.561740,1.561450,1.561740,0
2019-01-01 17:11:00,1.561800,1.561940,1.561610,1.561870,0
2019-01-01 17:12:00,1.561860,1.561920,1.561860,1.561920,0
2019-01-01 17:13:00,1.561930,1.561930,1.561770,1.561770,0
2019-01-01 17:14:00,1.561750,1.561760,1.561730,1.561730,0
2019-01-01 17:15:00,1.561740,1.561740,1.561720,1.561720,0
2019-01-01 17:16:00,1.561720,1.561720,1.561720,1.561720,0
2019-01-01 17:17:00,1.561720,1.561730,1.561720,1.561730,0
2019-01-01 17:18:00,1.561740,1.561750,1.561730,1.561730,0
2019-01-01 17:19:00,1.561720,1.561720,1.561720,1.561720,0
2019-01-01 17:21:00,1.561710,1.561720,1.561710,1.561720,0
2019-01-01 17:22:00,1.562560,1.562770,1.562480,1.562760,0
2019-01-01 17:23:00,1.562760,1.562760,1.562730,1.562730,0
2019-01-01 17:24:00,1.562740,1.562740,1.561700,1.561710,0
2019-01-01 17:25:00,1.561710,1.561710,1.561700,1.561700,0
2019-01-01 17:26:00,1.561700,1.561700,1.561700,1.561700,0
2019-01-01 17:27:00,1.561700,1.561700,1.561690,1.561690,0
2019-01-01 17:28:00,1.561690,1.561690,1.561690,1.561690,0
2019-01-01 17:29:00,1.561690,1.562060,1.561660,1.562040,0
2019-01-01 17:30:00,1.562040,1.562040,1.561760,1.562010,0
2019-01-01 17:31:00,1.562010,1.562220,1.561620,1.561740,0
2019-01-01 17:32:00,1.561740,1.561770,1.561630,1.561660,0
2019-01-01 17:33:00,1.561660,1.561660,1.561510,1.561620,0
2019-01-01 17:34:00,1.561620,1.561690,1.561590,1.561690,0
